S1024-Rearray62,A01,C2_1551,,,
S1024-Rearray62,A02,C1_3033,,,
S1024-Rearray62,A03,C2_1122,,,
S1024-Rearray62,A04,C1_2714,,,
S1024-Rearray62,A05,C1_2833,,,
S1024-Rearray62,A06,C2_798,,,
S1024-Rearray62,A07,C1_2865,,,
S1024-Rearray62,A08,C2_1167,,,
S1024-Rearray62,A09,C1_3034,,,
S1024-Rearray62,A10,C2_238,,,
S1024-Rearray62,A11,C2_1400,,,
S1024-Rearray62,A12,C1_2678,,,
S1024-Rearray62,B01,C1_2887,,,
S1024-Rearray62,B02,C2_2141,,,
S1024-Rearray62,B03,D_9906,,,
S1024-Rearray62,B04,C2_2082,,,
S1024-Rearray62,B05,C2_239,,,
S1024-Rearray62,B06,C2_1123,,,
S1024-Rearray62,B07,C1_2693,,,
S1024-Rearray62,B08,C1_2581,,,
S1024-Rearray62,B09,C2_1467,,,
S1024-Rearray62,B10,C2_1168,,,
S1024-Rearray62,B11,C2_1552,,,
S1024-Rearray62,B12,C2_799,,,
S1024-Rearray62,C01,C1_2587,,,
S1024-Rearray62,C02,C1_2799,,,
S1024-Rearray62,C03,C1_2823,,,
S1024-Rearray62,C04,C1_2954,,,
S1024-Rearray62,C05,C1_2608,,,
S1024-Rearray62,C06,C1_2706,,,
S1024-Rearray62,C07,C1_2879,,,
S1024-Rearray62,C08,C2_174,,,
S1024-Rearray62,C09,C2_1401,,,
S1024-Rearray62,C10,C2_1468,,,
S1024-Rearray62,C11,C2_175,,,
S1024-Rearray62,C12,CONTROL_ID,Leave Position Empty,,
S1024-Rearray62,D01,C1_2537,,,
S1024-Rearray62,D02,C1_3035,,,
S1024-Rearray62,D03,,,,
S1024-Rearray62,D04,,,,
S1024-Rearray62,D05,,,,
S1024-Rearray62,D06,,,,
S1024-Rearray62,D07,,,,
S1024-Rearray62,D08,,,,
S1024-Rearray62,D09,,,,
S1024-Rearray62,D10,,,,
S1024-Rearray62,D11,,,,
S1024-Rearray62,D12,,,,
S1024-Rearray62,E01,CONTROL_ID,Leave Position Empty,,
S1024-Rearray62,E02,,,,
S1024-Rearray62,E03,,,,
S1024-Rearray62,E04,,,,
S1024-Rearray62,E05,,,,
S1024-Rearray62,E06,,,,
S1024-Rearray62,E07,,,,
S1024-Rearray62,E08,,,,
S1024-Rearray62,E09,,,,
S1024-Rearray62,E10,,,,
S1024-Rearray62,E11,,,,
S1024-Rearray62,E12,,,,
S1024-Rearray62,F01,,,,
S1024-Rearray62,F02,,,,
S1024-Rearray62,F03,,,,
S1024-Rearray62,F04,,,,
S1024-Rearray62,F05,,,,
S1024-Rearray62,F06,,,,
S1024-Rearray62,F07,,,,
S1024-Rearray62,F08,,,,
S1024-Rearray62,F09,,,,
S1024-Rearray62,F10,,,,
S1024-Rearray62,F11,,,,
S1024-Rearray62,F12,,,,
S1024-Rearray62,G01,,,,
S1024-Rearray62,G02,,,,
S1024-Rearray62,G03,,,,
S1024-Rearray62,G04,,,,
S1024-Rearray62,G05,,,,
S1024-Rearray62,G06,,,,
S1024-Rearray62,G07,,,,
S1024-Rearray62,G08,,,,
S1024-Rearray62,G09,,,,
S1024-Rearray62,G10,,,,
S1024-Rearray62,G11,,,,
S1024-Rearray62,G12,,,,
S1024-Rearray62,H01,,,,
S1024-Rearray62,H02,,,,
S1024-Rearray62,H03,,,,
S1024-Rearray62,H04,,,,
S1024-Rearray62,H05,,,,
S1024-Rearray62,H06,,,,
S1024-Rearray62,H07,,,,
S1024-Rearray62,H08,,,,
S1024-Rearray62,H09,,,,
S1024-Rearray62,H10,,,,
S1024-Rearray62,H11,,,,
S1024-Rearray62,H12,,,,
