Filename,P2104_Shaffer_REARRAYSENT_2018-05-16-08_46_45.109.csv,,,,
Study,Shaffer_DentalCaries_MultiSNP_033117,,,,
Project,Shaffer_DentalCaries_MultiEthnicGlobal_033117_2,,,,
DO NOT USE ANY COMMAS. This file will be converted to a comma-delimited file,,,,,
,,,,,
Rearray_Container_ID,Well,Subject_ID (must match the Subject_ID provided in the SIF),CIDR Comment,Investigator_Column_1,Investigator_Column_2
S1024-Rearray29,D05,C2_1653,,,
S1024-Rearray29,D06,D_166,,,
S1024-Rearray29,D07,C2_942,,,
S1024-Rearray29,D08,C2_1201,,,
S1024-Rearray29,D09,C2_1213,,,
S1024-Rearray29,D10,D_333,,,
S1024-Rearray29,D11,C1_2512,,,
S1024-Rearray29,D12,D_226,,,
S1024-Rearray29,E01,C2_1599,,,
S1024-Rearray29,E02,C1_2696,,,
S1024-Rearray29,E03,C2_116,,,
S1024-Rearray29,E04,D_22,,,
S1024-Rearray29,E05,D_365,,,
S1024-Rearray29,E06,D_309,,,
S1024-Rearray29,E07,D_212,,,
S1024-Rearray29,E08,C2_1212,,,
S1024-Rearray29,E09,C2_1489,,,
S1024-Rearray29,E10,D_287,,,
S1024-Rearray29,E11,C1_2883,,,
S1024-Rearray29,E12,C2_37,,,
S1024-Rearray29,F01,D_277,,,
S1024-Rearray29,F02,C1_2569,,,
S1024-Rearray29,F03,C2_2211,,,
S1024-Rearray29,F04,C1_2560,,,
S1024-Rearray29,F05,D_125,,,
S1024-Rearray29,F06,C2_424,,,
S1024-Rearray29,F07,C2_276,,,
S1024-Rearray29,F08,C2_1178,,,
S1024-Rearray29,F09,C2_1219,,,
S1024-Rearray29,F10,C2_931,,,
S1024-Rearray29,F11,C2_833,,,
S1024-Rearray29,F12,D_139,,,
S1024-Rearray29,G01,C2_405,,,
S1024-Rearray29,G02,C2_525,,,
S1024-Rearray29,G03,C2_2214,,,
S1024-Rearray29,G04,C2_1504,,,
S1024-Rearray29,G05,D_185,,,
S1024-Rearray29,G06,C2_1475,,,
S1024-Rearray29,G07,D_187,,,
S1024-Rearray29,G08,C2_1894,,,
S1024-Rearray29,G09,C2_2124,,,
S1024-Rearray29,G10,D_304,,,
S1024-Rearray29,G11,C2_9911,,,
S1024-Rearray29,G12,C2_1505,,,
S1024-Rearray29,H01,C2_834,,,
S1024-Rearray29,H02,C1_2713,,,
S1024-Rearray29,H03,C2_2022,,,
S1024-Rearray29,H04,C2_1394,,,
S1024-Rearray29,H05,D_306,,,
S1024-Rearray29,H06,C1_2859,,,
S1024-Rearray29,H07,C2_1182,,,
S1024-Rearray29,H08,C2_1474,,,
S1024-Rearray29,H09,C2_1395,,,
S1024-Rearray29,H10,C2_2040,,,
S1024-Rearray29,H11,C2_1031,,,
S1024-Rearray29,H12,C2_1425,,,
S1024-Rearray30,A01,C2_1618,,,
S1024-Rearray30,A02,C2_1277,,,
S1024-Rearray30,A03,C1_2673,,,
S1024-Rearray30,A04,C1_2639,,,
S1024-Rearray30,A05,C2_1377,,,
S1024-Rearray30,A06,C1_2888,,,
S1024-Rearray30,A07,C2_2080,,,
S1024-Rearray30,A08,C1_2559,,,
S1024-Rearray30,A09,C2_994,,,
S1024-Rearray30,A10,C1_3056,,,
S1024-Rearray30,A11,C2_108,,,
S1024-Rearray30,A12,C2_1337,,,
S1024-Rearray30,B01,C2_1498,,,
S1024-Rearray30,B02,C2_1170,,,
S1024-Rearray30,B03,C2_788,,,
S1024-Rearray30,B04,C2_2081,,,
S1024-Rearray30,B05,C2_1169,,,
S1024-Rearray30,B06,C2_1888,,,
S1024-Rearray30,B07,C1_2974,,,
S1024-Rearray30,B08,C2_1081,,,
S1024-Rearray30,B09,C2_1960,,,
S1024-Rearray30,B10,C2_109,,,
S1024-Rearray30,B11,C2_1593,,,
S1024-Rearray30,B12,C2_1286,,,
S1024-Rearray30,C01,D_100,,,
S1024-Rearray30,C02,C1_2521,,,
S1024-Rearray30,C03,C1_2626,,,
S1024-Rearray30,C04,C1_2570,,,
S1024-Rearray30,C05,C1_2933,,,
S1024-Rearray30,C06,CONTROL_ID,Leave Position Empty,,
S1024-Rearray30,C07,C2_389,,,
S1024-Rearray30,C08,C2_1047,,,
S1024-Rearray30,C09,C1_3004,,,
S1024-Rearray30,C10,C2_254,,,
S1024-Rearray30,C11,C2_1449,,,
S1024-Rearray30,C12,D_59,,,
S1024-Rearray30,D01,C2_784,,,
S1024-Rearray30,D02,C2_456,,,
S1024-Rearray30,D03,C2_1278,,,
S1024-Rearray30,D04,C2_485,,,
S1024-Rearray30,D05,C2_567,,,
S1024-Rearray30,D06,C2_568,,,
S1024-Rearray30,D07,C1_3083,,,
S1024-Rearray30,D08,C1_3082,,,
S1024-Rearray30,D09,C2_787,,,
S1024-Rearray30,D10,C2_1203,,,
S1024-Rearray30,D11,C2_455,,,
S1024-Rearray30,D12,C2_2060,,,
S1024-Rearray30,E01,C1_2652,,,
S1024-Rearray30,E02,C1_2939,,,
S1024-Rearray30,E03,C2_2140,,,
S1024-Rearray30,E04,C2_1959,,,
S1024-Rearray30,E05,D_296,,,
S1024-Rearray30,E06,C2_1325,,,
S1024-Rearray30,E07,C2_2133,,,
